Year,Population,Murder,Robbery,Assault,Burglary,CarTheft
1965,18073000,836,2320,27464,183443,58452
1966,18258000,882,2439,29142,196127,64368
1967,18336000,996,2665,31261,219157,83775
1968,18113000,1185,2527,34946,250918,104877
1969,18321000,1324,2902,36890,248477,115400
1970,18190740,1444,2875,39145,267474,125674
1971,18391000,1823,3225,42318,273704,127658
1972,18366000,2026,4199,45926,239886,105081
1973,18265000,2040,4852,47781,246246,112328
1974,18111000,1919,5240,51454,271824,104095
1975,18120000,1996,5099,54593,301996,116274
1976,18084000,1969,4663,54638,318919,133504
1977,17924000,1919,5272,57193,309735,133669
1978,17748000,1820,5168,58484,292956,119264
1979,17649000,2092,5394,60949,308302,124343
1980,17506690,2228,5405,60329,360925,133041
1981,17594000,2166,5479,60189,350422,136849
1982,17659000,2013,5159,59818,295245,137880
1983,17667000,1958,5296,59452,249115,127861
1984,17735000,1786,5599,64872,222956,115392
1985,17783000,1683,5706,68270,219633,106537
1986,17772000,1907,5415,76528,217010,113247
1987,17825000,2016,5537,82417,216826,125329
1988,17898000,2244,5479,91239,218060,153898
1989,17950000,2246,5242,91571,211130,171007
1990,17990455,2605,5368,92105,208813,187591
1991,18058000,2571,5085,90186,204499,181287
1992,18119000,2397,5152,87608,193548,168922
1993,18197000,2420,5008,85802,181709,151949
1994,18169000,2016,4700,82100,164650,128873
1995,18136000,1550,4290,74351,146562,102596
1996,18185000,1353,4174,64857,129828,89900
1997,18137000,1093,4075,63628,118306,79697
1998,18175000,924,3843,62023,104821,68171
1999,18196601,903,3563,58860,93217,58261
2000,18976457,952,3530,60090,87946,54231
2001,19084350,960,3546,56961,80400,48287
2002,19134293,909,3885,53583,76700,47366
2003,19212425,934,3775,48987,75453,45204
2004,19280727,889,3608,46911,70696,41002
2005,19315721,874,3636,46150,68034,35736
2006,19306183,921,3169,45387,68565,32134
2007,19297729,801,2926,45094,64857,28030
2008,19467789,836,2799,42122,65537,25096
2009,19541453,781,2582,43606,62769,21871
2010,19395206,868,2797,44197,65839,20639
2011,19465197,774,2752,45568,65397,19311
